occurrenceID	catalogNumber	institutionCode	collectionCode	collectionID	basisOfRecord	type	recordedBy	eventDate	samplingProtocol	individualCount	preparations	identifiedBy	dateIdentified	identificationQualifier	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	scientificName	scientificNameAuthorship	verbatimTaxonRank	taxonRank	vernacularName	sex	habitat	country	stateProvince	county	verbatimLocality	verbatimElevation	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters
UCN:MH-ORNIT:46-2300MI2008AV0021	46-2300MI2008AV0021	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Velásquez C | Correa E | Ramírez J	2001/03/19	Red de Niebla	1	Piel	Idárraga A | Rodríguez W | Díaz O | Urrea L | Carmona D | Rivera A | Parra R	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Male	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-MAM:46-2300MI2008MA0003	46-2300MI2008MA0003	Universidad de Ciencias Naturales (UCN)	MH-MAM	RNC:123	PreservedSpecimen	Objeto físico	Vargas I	19/03/2001		1		Londoño L | Díaz O | Serna J	oct. 2001				Mammalia		Atelidae				Alouatta seniculus (Linnaeus, 1766)				Mono aullador	Hembra	Bosque Premontano	Colombia	Antioquia	Bello	Entre Medellín y San Pedro	2448	"6° 20' 3.120"" N"	"75° 36' 18.650"" W"					
UCN:MH-MAM:46-2300MI2008MA0030	46-2300MI2008MA0030	Universidad de Ciencias Naturales (UCN)	MH-MAM	RNC:123	PreservedSpecimen	Objeto físico	Vester H | Castro B	Feb 10, 2001		1		Londoño L | Díaz O | Serna J	oct. 2001				Mammalia		Atelidae				Alouatta seniculus (Linnaeus, 1766)				Mono aullador	Desconocido	Bosque Premontano	Colombia	Antioquia	Bello	Entre Medellín y San Pedro	2448	"6° 20' 3.120"" N"	"75° 36' 18.650"" W"					
UCN:MH-MAM:46-2300MI2008MA0093	46-2300MI2008MA0093	Universidad de Ciencias Naturales (UCN)	MH-MAM	RNC:123	PreservedSpecimen	Objeto físico	Vester H | Castro Bernardo	2001		1		Londoño L | Díaz O | Serna J	oct. 2001				Mammalia		Atelidae				Alouatta seniculus (Linnaeus, 1766)				Mono aullador	M	Bosque Premontano	Colombia	Antioquia	Bello	Entre Medellín y San Pedro	2448	"6° 20' 3.120"" N"	"75° 36' 18.650"" W"					
UCN:MH-MAM:46-2300MI2008MA0352	46-2300MI2008MA0352	Universidad de Ciencias Naturales (UCN)	MH-MAM	RNC:123	PreservedSpecimen	Objeto físico	Arias J | Ramírez M	19/03/2001		1		Albert L | Folsom J | Brand J | Sánchez D	oct. 2001				Mammalia		Atelidae				Alouatta seniculus (Linnaeus, 1766)				Mono aullador	Male	Bosque Premontano	Colombia	Antioquia	Bello	Entre Medellín y San Pedro	2448	"6° 20' 3.120"" N"	"75° 36' 18.650"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0046	46-2300MI2008AV0046	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Velásquez C | Correa E | Ramírez J	20/03/2001	Red de Niebla	1	Piel	Idárraga A | Rodríguez W | Díaz O | Urrea L | Carmona D | Rivera A | Parra R	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Female	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0066	46-2300MI2008AV0066	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Velásquez C | Correa E | Ramírez J	Mar 2001	Red de Niebla	1	Piel	Idárraga A | Rodríguez W | Díaz O | Urrea L | Carmona D | Rivera A | Parra R	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Macho	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0118	46-2300MI2008AV0118	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Marulanda O | Montoya G | Toro G | Giraldo A	2001/03/19	Red de Niebla	1	Piel	Idárraga A | Rodríguez W | Díaz O | Urrea L | Carmona D | Rivera A | Parra R	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Hembra	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0130	46-2300MI2008AV0130	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Marulanda O | Montoya G | Toro G | Giraldo A	Feb 2001	Red de Niebla	1	Piel	Rodríguez W | Idárraga A | Parra R | Carmona D | Naranjo J | Taborda K	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Desconocido	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0145	46-2300MI2008AV0145	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Vargas I	May 2001	Red de Niebla	1	Piel	Idárraga A | Rodríguez W | Díaz O | Urrea L | Carmona D | Rivera A | Parra R	oct. 2001				Aves		Accipitridae				Buteo magnirostris					M	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0197	46-2300MI2008AV0197	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Benavides A	Mar 19, 2001	Red de Niebla	1	Piel	Idárraga A | Rodríguez W | Díaz O | Urrea L | Carmona D | Rivera A | Parra R	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Male	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0223	46-2300MI2008AV0223	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Benavides J | Trujillo P	2001	Red de Niebla	1	Piel	Alzate F | Rodríguez W | Idárraga A | Díaz O | Carmona D | Urrea L | Rivera A	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Female	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0255	46-2300MI2008AV0255	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Vargas I	19/03/2001	Red de Niebla	1	Piel	Soejarto D | Zarucchi J | Swain T | Bagley J	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Macho	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0287	46-2300MI2008AV0287	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Roldán F | Marulanda O | Flórez M | Osorio L	19/03/2001	Red de Niebla	1	Piel	Soejarto D | Zarucchi J | Swain T | Bagley J	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Hembra	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0322	46-2300MI2008AV0322	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Velásquez C | Correa E | Ramírez J	Feb 10, 2001	Red de Niebla	1	Piel	Soejarto D | Zarucchi J | Swain T | Bagley J	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Desconocido	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0343	46-2300MI2008AV0343	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Galeano M | Martínez X | Matapí A | Anzola F | Pavón M	2001	Red de Niebla	1	Piel	Soejarto D | Cabrera I | Zarucchi J	oct. 2001				Aves		Accipitridae				Buteo magnirostris					M	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0390	46-2300MI2008AV0390	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Fonnegra R	19/03/2001	Red de Niebla	1	Piel	Benjumea D	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Male	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0429	46-2300MI2008AV0429	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Giraldo D	Mar 2001	Red de Niebla	1	Piel	Albert L | Folsom J | Brand J | Sánchez D	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Female	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0455	46-2300MI2008AV0455	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Beltran N	Mar 19, 2001	Red de Niebla	1	Piel	Suescún D | Piedrahíta J | Ríos L	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Macho	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0549	46-2300MI2008AV0549	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Forero E | Jaramillo R	Mar 19, 2001	Red de Niebla	1	Piel	Suescún D | Piedrahíta J | Ríos L	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Hembra	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0590	46-2300MI2008AV0590	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Vincelli P	19/03/2001	Red de Niebla	1	Piel	Suescún D | Piedrahíta J | Ríos L	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Desconocido	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0599	46-2300MI2008AV0599	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Rudas A | Giraldo D | Tuberquia D | Uribe F	20/03/2001	Red de Niebla	1	Piel	Suescún D | Piedrahíta J | Ríos L	oct. 2001				Aves		Accipitridae				Buteo magnirostris					M	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0699	46-2300MI2008AV0699	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Rudas A | Giraldo D | Tuberquia D | Uribe F	Mar 2001	Red de Niebla	1	Piel	Suescún D | Piedrahíta J | Ríos L	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Male	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0735	46-2300MI2008AV0735	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Rudas A | Giraldo D | Tuberquia D | Uribe F	2001/03/19	Red de Niebla	1	Piel	Suescún D | Piedrahíta J | Ríos L	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Female	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0787	46-2300MI2008AV0787	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Galeano M | Martínez X | Matapí A | Anzola F | Pavón M	2001/03/19	Red de Niebla	1	Piel	Suescún D | Piedrahíta J | Ríos L	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Macho	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0829	46-2300MI2008AV0829	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Sierra L | Bermúdez G	20/03/2001	Red de Niebla	1	Piel	Suescún D | Piedrahíta J | Ríos L	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Hembra	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV0861	46-2300MI2008AV0861	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Vargas I	Mar 2001	Red de Niebla	1	Piel	Suescún D | Piedrahíta J | Ríos L	oct. 2001				Aves		Accipitridae				Buteo magnirostris					Desconocido	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
UCN:MH-ORNIT:46-2300MI2008AV1061	46-2300MI2008AV1061	Universidad de Ciencias Naturales (UCN)	MH-ORNIT	RNC:123	PreservedSpecimen	Objeto físico	Rudas A | Giraldo D | Tuberquia D | Uribe F	2001/03/19	Red de Niebla	1	Piel	Suescún D | Piedrahíta J | Ríos L	oct. 2001				Aves		Accipitridae				Buteo magnirostris					M	Bosque Montano	Colombia	Antioquia	Medellín	N de la cumbre de Santa Elena, entre el río Negro y Medellín	2545	"6° 12' 26.210"" N"	"75° 29' 24.110"" W"					
