occurrenceID;basisOfRecord;institutionCode;collectionCode;catalogNumber;recordedBy;verbatimEventDate;samplingProtocol;individualCount;preparations;identifiedBy;dateIdentified;identificationQualifier;kingdom;phylum;class;order;family;genus;specificEpithet;infraspecificEpithet;scientificName;scientificNameAuthorship;verbatimTaxonRank;taxonRank;vernacularName;sex;habitat;country;countryCode;stateProvince;county;verbatimLocality;verbatimElevation;verbatimLatitude;verbatimLongitude;verbatimCoordinateSystem;verbatimSRS;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters
UCN:MH-ORNIT:46-2300MI2008AV0021;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0021;Velásquez C | Correa E | Ramírez J;2001/03/19;Red de Niebla;1;Piel;Idárraga A | Rodríguez W | Díaz O | Urrea L | Carmona D | Rivera A | Parra R;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Macho;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-CAMPO:46-2300MI2008MA0003;HumanObservation;UCN;MH-CAMPO;46-2300MI2008MA0003;Vargas I;19/03/2001;;1;;Londoño L | Díaz O | Serna J;oct. 2001;;;;Mammalia;;Atelidae;;;;Alouatta seniculus (Linnaeus, 1766);;;;Mono aullador;Hembra;Bosque Premontano;Colombia;CO;Antioquia;Bello;Entre Medellín y San Pedro;2448;"6° 20' 3.120"" N";"75° 36' 18.650"" W";;;;;
UCN:MH-CAMPO:46-2300MI2008MA0030;HumanObservation;UCN;MH-CAMPO;46-2300MI2008MA0030;Vester H | Castro B;Feb 10, 2001;;1;;Londoño L | Díaz O | Serna J;oct. 2001;;;;Mammalia;;Atelidae;;;;Alouatta seniculus (Linnaeus, 1766);;;;Mono aullador;Indeterminado;Bosque Premontano;Colombia;CO;Antioquia;Bello;Entre Medellín y San Pedro;2448;"6° 20' 3.120"" N";"75° 36' 18.650"" W";;;;;
UCN:MH-CAMPO:46-2300MI2008MA0093;HumanObservation;UCN;MH-CAMPO;46-2300MI2008MA0093;Vester H | Castro Bernardo;2001;;1;;Londoño L | Díaz O | Serna J;oct. 2001;;;;Mammalia;;Atelidae;;;;Alouatta seniculus (Linnaeus, 1766);;;;Mono aullador;Macho;Bosque Premontano;Colombia;CO;Antioquia;Bello;Entre Medellín y San Pedro;2448;"6° 20' 3.120"" N";"75° 36' 18.650"" W";;;;;
UCN:MH-CAMPO:46-2300MI2008MA0352;HumanObservation;UCN;MH-CAMPO;46-2300MI2008MA0352;Arias J | Ramírez M;19/03/2001;;1;;Albert L | Folsom J | Brand J | Sánchez D;oct. 2001;;;;Mammalia;;Atelidae;;;;Alouatta seniculus (Linnaeus, 1766);;;;Mono aullador;Macho;Bosque Premontano;Colombia;CO;Antioquia;Bello;Entre Medellín y San Pedro;2448;"6° 20' 3.120"" N";"75° 36' 18.650"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0046;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0046;Velásquez C | Correa E | Ramírez J;20/03/2001;Red de Niebla;1;Piel;Idárraga A | Rodríguez W | Díaz O | Urrea L | Carmona D | Rivera A | Parra R;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Hembra;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0066;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0066;Velásquez C | Correa E | Ramírez J;Mar 2001;Red de Niebla;1;Piel;Idárraga A | Rodríguez W | Díaz O | Urrea L | Carmona D | Rivera A | Parra R;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Macho;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0118;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0118;Marulanda O | Montoya G | Toro G | Giraldo A;2001/03/19;Red de Niebla;1;Piel;Idárraga A | Rodríguez W | Díaz O | Urrea L | Carmona D | Rivera A | Parra R;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Hembra;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0130;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0130;Marulanda O | Montoya G | Toro G | Giraldo A;Feb 2001;Red de Niebla;1;Piel;Rodríguez W | Idárraga A | Parra R | Carmona D | Naranjo J | Taborda K;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Indeterminado;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
UCN:MH-ORNIT:46-2300MI2008AV0145;PreservedSpecimen;UCN;MH-ORNIT;46-2300MI2008AV0145;Vargas I;May 2001;Red de Niebla;1;Piel;Idárraga A | Rodríguez W | Díaz O | Urrea L | Carmona D | Rivera A | Parra R;oct. 2001;;;;Aves;;Accipitridae;;;;Buteo magnirostris;;;;;Macho;Bosque Montano;Colombia;CO;Antioquia;Medellín;N de la cumbre de Santa Elena, entre el río Negro y Medellín;2545;"6° 12' 26.210"" N";"75° 29' 24.110"" W";;;;;
