occurrenceID,basisOfRecord,institutionCode,collectionCode,catalogNumber,type,collectionID,recordedBy,verbatimEventDate,samplingProtocol,individualCount,preparations,identifiedBy,dateIdentified,identificationQualifier,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,verbatimTaxonRank,taxonRank,vernacularName,sex,habitat,country,countryCode,stateProvince,county,verbatimLocality,verbatimElevation,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters
UCN:MH-ORNIT:46-2300MI2008AV0021,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0021,Objeto físico,RNC:123,Velásquez C | Correa E | Ramírez J,2001/03/19,Red de Niebla,1,Piel,Idárraga A | Rodríguez W | Díaz O | Urrea L | Carmona D | Rivera A | Parra R,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Macho,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-MAM:46-2300MI2008MA0003,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-MAM,46-2300MI2008MA0003,Objeto físico,RNC:123,Vargas I,19/03/2001,,1,,Londoño L | Díaz O | Serna J,oct. 2001,,,,Mammalia,,Atelidae,,,,"Alouatta seniculus (Linnaeus, 1766)",,,,Mono aullador,Hembra,Bosque Premontano,Colombia,CO,Antioquia,Bello,Entre Medellín y San Pedro,2448,"6° 20' 3.120"" N","75° 36' 18.650"" W",,,,,
UCN:MH-MAM:46-2300MI2008MA0030,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-MAM,46-2300MI2008MA0030,Objeto físico,RNC:123,Vester H | Castro B,"Feb 10, 2001",,1,,Londoño L | Díaz O | Serna J,oct. 2001,,,,Mammalia,,Atelidae,,,,"Alouatta seniculus (Linnaeus, 1766)",,,,Mono aullador,Indeterminado,Bosque Premontano,Colombia,CO,Antioquia,Bello,Entre Medellín y San Pedro,2448,"6° 20' 3.120"" N","75° 36' 18.650"" W",,,,,
UCN:MH-MAM:46-2300MI2008MA0093,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-MAM,46-2300MI2008MA0093,Objeto físico,RNC:123,Vester H | Castro Bernardo,2001,,1,,Londoño L | Díaz O | Serna J,oct. 2001,,,,Mammalia,,Atelidae,,,,"Alouatta seniculus (Linnaeus, 1766)",,,,Mono aullador,Macho,Bosque Premontano,Colombia,CO,Antioquia,Bello,Entre Medellín y San Pedro,2448,"6° 20' 3.120"" N","75° 36' 18.650"" W",,,,,
UCN:MH-MAM:46-2300MI2008MA0352,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-MAM,46-2300MI2008MA0352,Objeto físico,RNC:123,Arias J | Ramírez M,19/03/2001,,1,,Albert L | Folsom J | Brand J | Sánchez D,oct. 2001,,,,Mammalia,,Atelidae,,,,"Alouatta seniculus (Linnaeus, 1766)",,,,Mono aullador,Macho,Bosque Premontano,Colombia,CO,Antioquia,Bello,Entre Medellín y San Pedro,2448,"6° 20' 3.120"" N","75° 36' 18.650"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0046,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0046,Objeto físico,RNC:123,Velásquez C | Correa E | Ramírez J,20/03/2001,Red de Niebla,1,Piel,Idárraga A | Rodríguez W | Díaz O | Urrea L | Carmona D | Rivera A | Parra R,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Hembra,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0066,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0066,Objeto físico,RNC:123,Velásquez C | Correa E | Ramírez J,Mar 2001,Red de Niebla,1,Piel,Idárraga A | Rodríguez W | Díaz O | Urrea L | Carmona D | Rivera A | Parra R,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Macho,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0118,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0118,Objeto físico,RNC:123,Marulanda O | Montoya G | Toro G | Giraldo A,2001/03/19,Red de Niebla,1,Piel,Idárraga A | Rodríguez W | Díaz O | Urrea L | Carmona D | Rivera A | Parra R,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Hembra,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0130,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0130,Objeto físico,RNC:123,Marulanda O | Montoya G | Toro G | Giraldo A,Feb 2001,Red de Niebla,1,Piel,Rodríguez W | Idárraga A | Parra R | Carmona D | Naranjo J | Taborda K,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Indeterminado,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0145,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0145,Objeto físico,RNC:123,Vargas I,May 2001,Red de Niebla,1,Piel,Idárraga A | Rodríguez W | Díaz O | Urrea L | Carmona D | Rivera A | Parra R,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Macho,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0197,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0197,Objeto físico,RNC:123,Benavides A,"Mar 19, 2001",Red de Niebla,1,Piel,Idárraga A | Rodríguez W | Díaz O | Urrea L | Carmona D | Rivera A | Parra R,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Macho,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0223,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0223,Objeto físico,RNC:123,Benavides J | Trujillo P,2001,Red de Niebla,1,Piel,Alzate F | Rodríguez W | Idárraga A | Díaz O | Carmona D | Urrea L | Rivera A,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Hembra,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0255,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0255,Objeto físico,RNC:123,Vargas I,19/03/2001,Red de Niebla,1,Piel,Soejarto D | Zarucchi J | Swain T | Bagley J,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Macho,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0287,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0287,Objeto físico,RNC:123,Roldán F | Marulanda O | Flórez M | Osorio L,19/03/2001,Red de Niebla,1,Piel,Soejarto D | Zarucchi J | Swain T | Bagley J,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Hembra,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0322,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0322,Objeto físico,RNC:123,Velásquez C | Correa E | Ramírez J,"Feb 10, 2001",Red de Niebla,1,Piel,Soejarto D | Zarucchi J | Swain T | Bagley J,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Indeterminado,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0343,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0343,Objeto físico,RNC:123,Galeano M | Martínez X | Matapí A | Anzola F | Pavón M,2001,Red de Niebla,1,Piel,Soejarto D | Cabrera I | Zarucchi J,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Macho,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0390,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0390,Objeto físico,RNC:123,Fonnegra R,19/03/2001,Red de Niebla,1,Piel,Benjumea D,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Macho,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
UCN:MH-ORNIT:46-2300MI2008AV0429,PreservedSpecimen,Universidad de Ciencias Naturales (UCN),MH-ORNIT,46-2300MI2008AV0429,Objeto físico,RNC:123,Giraldo D,Mar 2001,Red de Niebla,1,Piel,Albert L | Folsom J | Brand J | Sánchez D,oct. 2001,,,,Aves,,Accipitridae,,,,Buteo magnirostris,,,,,Hembra,Bosque Montano,Colombia,CO,Antioquia,Medellín,"N de la cumbre de Santa Elena, entre el río Negro y Medellín",2545,"6° 12' 26.210"" N","75° 29' 24.110"" W",,,,,
